item	img	match_noun_ger	match_verb_ger	match_noun_en	match_verb_en	nonmatch_noun_ger	nonmatch_verb_ger	nonmatch_noun_en	nonmatch_verb_en
17	grammophonnadel.bmp	Schallplatte 	abtasten	vinyl record	reading	Ball 	katapultieren	ball	catapulting
18	glasschneider.bmp	Glas 	schneiden	glass	cutting	Eier 	wiegen	eggs	weighing
19	Brikettpresse.bmp	Briketts 	pressen	briquette	pressing	Narkosemittel 	abgeben	anesthetic	administering
20	orgelpfeife.bmp	Orgelton 	erzeugen	organ sound	making	Bandage	rollen	bandage	rolling
21	spannungsgeraet.bmp	Spannung 	erzeugen	electric current	making	Fußstütze	reiten	footrest	horseback riding
22	anesthesia_inhaler.bmp	Narkosemittel 	abgeben	anesthetic	administering	Nüsse 	aufbrechen	nuts	cracking
23	Bandagen-Roller.bmp	Bandage 	rollen	bandage	rolling	Schnee 	rodeln	snow	sleighing
24	weinfassoeffner.bmp	Weinfass	Loch einschlagen	wine barrel	smashing a hole	Tier 	einfangen	animal	trapping
25	cork_inserter.bmp	Flaschenkorken	einführen	bottle cork	inserting	Pferd 	im Moor laufen	horse	walking in the moor
26	Huehnereier-Brutautomat.bmp	Automat	Eier ausbrüten	machine	incubating eggs	Windgeschwindigkeit	messen	wind speed	measuring
27	Korngarbengreifer.bmp	Korngarbe 	greifen	sheaf	grabbing	Treibhaus 	heizen	glass house	heating
28	Briefwaage.bmp	Brief 	wiegen	letter	weighing	Korngarbe 	greifen	sheaf	grabbing
29	4erbohrer.bmp	Löcher 	bohren	hole	drilling	Sonnenlicht	Intensität messen	sunlight	measure intensity
30	Grossfisch-Angelkurbel.bmp	Angelschnur 	kurbeln	fishing line	winding	Glaskörper 	musizieren	glass body	making music
31	Kurvenmalgeraet.bmp	Kurven	malen	curve	drawing	Nussöl 	pressen	nut oil	pressing
32	radiofrequenzeinsteller.bmp	Radiofrequenz	einstellen	radio frequency	tuning	Erektion	helfen	erection	helping
33	Zaepfchenpresse.bmp	Zäpfchen	pressen	suppository	pressing	Unkraut	jäten	weed	removing
34	dosenoeffner_fuer_faesser.bmp	Fass 	öffnen	barrel	opening	Pflanzenteile 	vergrößern	plant parts	magnifying
35	karbidlampe.bmp	Bergbaustollen	beleuchten	mining tunnel	lightening	Knie	fixieren	knee	fixating
36	antizaungurt.bmp	Kuh 	vom Zaun abhalten	cow	keeping away from the fence	Radiofrequenz	einstellen	radio frequency	tuning
37	Saemaschine.bmp	Saatgut	gleichmäßig aussäen	seeds	sowing evenly	Fass 	öffnen	barrel	opening
38	Flaschentrockner.bmp	Flaschen 	trocknen	bottles	drying	Bleistift 	anspitzen	pencil	sharpening
39	Thermopneumatische_Uhr.bmp	Uhr	mit Wärme betreiben	clock	operating with heat	Körper 	untersuchen	body	training
40	kimkim.bmp	Tonpott	trommeln	clay pot	drumming	Piano 	stimmen	piano	tuning
41	Sprengstoff-Zuender.bmp	Sprengstoffexplosion	auslösen	dynamite explosion	triggering	Fisch 	wiegen	fish	weighing
42	pferdeueberschuh.bmp	Pferdehuf 	Halt geben	horse hoof	giving grip	Zäpfchen 	pressen	suppository	pressing
43	Bleistiftspitzer.bmp	Bleistift 	anspitzen	pencil	sharpening	Angel	Köder markieren	fishing rod	marking bait
44	Nussoelpressmaschine.bmp	Nussöl 	pressen	nut oil	pressing	Zeichen 	einbrennen	marks	burning in
45	rasierklingenschaerfer.bmp	Rasierklinge 	schärfen	razor blade	sharpening	Kurven 	malen	curve	drawing
46	plattenheber.bmp	heiße Platten 	anheben	hot plates	lifting	Kleidung	im Eimer waschen	clothes	washing in a bucket
47	filmrolle.bmp	Film	aufspulen	film roll	winding	Mund	offen halten	mouth	keeping open
48	Flammenwerfer-Aufsatz.bmp	Waffe	entflammen	weapon	inflaming	Uhrzeit 	anzeigen	time	displaying
49	mikrotom.bmp	Mikroskop-Proben	schneiden	microscopic samples	slicing	heiße Platten	anheben	hot plates	lifting
50	Glasresonanz-Cello.bmp	Glaskörper	musizieren	glass body	making music	Kork	flach pressen	cork	pressing flat
51	dampfzerstaeuber.bmp	Dampf	zerstäuben	steam	spraying	Buch 	binden	book	opening
52	mandelnentferner.bmp	Mandeln 	operieren	kidneys	operating	Film 	aufspulen	film roll	winding
53	toaster.bmp	Toastbrot 	rösten	toast	roasting	Autobatterie 	Spannung testen	car battery	measuring voltage
54	steigbuegel.bmp	Fußstütze	reiten	footrest	horseback riding	Stromstärke	messen	current	measuring
55	feuertuergelenk.bmp	Türgelenk	Feuer überstehen	door hinge	surviving fires	Botschaft 	telegrafieren	message	telegraphing
56	einkufiger_schlitten.bmp	Schnee	rodeln	snow	sleighing	Dampf	zerstäuben	steam	spraying
57	Nussknacker.bmp	Nüsse 	aufbrechen	nuts	cracking	Ziegelsteine 	formen	bricks	forming
58	elektrisches_radiergummi.bmp	Radiergummi 	mit Strom betreiben	eraser	operating with electricity	Münzen 	aufbewahren	coins	storing
59	Treibhausheizgeraet.bmp	Treibhaus	heizen	glass house	heating	Messer 	schleifen	knife	sharpening
60	Telegraphier-Geraet.bmp	Botschaft 	telegrafieren	message	telegraphing	Toastbrot	rösten	toast	roasting
61	schwimmer.bmp	Angel	Köder markieren	fishing rod	marking bait	Baum 	erklettern	tree	climbing
62	Selbstreinigendes_Katzenklo.bmp	Katzenklo	sich selbst reinigen	litter box	self-cleaning	Tankfüllstand	messen	fuel tank level	gauging
63	pleximeter.bmp	Körper	untersuchen	body	examining	Schuhe 	auf Eis laufen	shoes	walking on ice
64	brillenglasschneidemaschine.bmp	Brillenglas 	zuschneiden	eyeglass lens	cutting	Saatgut	gleichmäßig aussäen	seeds	sowing evenly
65	drahtbieger.bmp	Draht 	wickeln	wire	winding	Bergbaustollen 	beleuchten	mining tunnel	lightening
66	Buecher-Offenhalter.bmp	Buch	offen halten	book	opening	Sprengstoffexplosion	auslösen	dynamite explosion	triggering
67	haecksler.bmp	Feldanbau 	häckseln	harvest	chopping	Draht 	wickeln	wire	winding
68	Roemisches_Senklot.bmp	Schnurlot 	absenken	plummet	letting down	Korken	formen	bottle cork	forming
69	filar_micrometer.bmp	Sternenbilder 	vermessen	stellar constellation	measuring	Schnurlot 	absenken	plummet	letting down
70	Morse-Geraet.bmp	Nachricht 	morsen	message	signaling	Feldanbau	häckseln	harvest	chopping
71	Stampf-Fiedel.bmp	Musikgerät 	stampfen	musical instrument	stamping	Goldmünzen	wiegen	gold coin	weighing
72	schneekette.bmp	Schuhe 	auf Eis laufen	shoes	walking on ice	Geschwindigkeit 	ermitteln	speed	determining
73	mechanisches_tachometer.bmp	Geschwindigkeit	ermitteln	speed	determining	Mausefalle 	zuschnappen	mousetrap	snap-shutting
74	Brenneisen.bmp	Zeichen 	einbrennen	marks	burning in	Luftdruck 	messen	air pressure	measuring
75	Tabakschneider.bmp	Tabak 	zermahlen	tobacco	pulverize	Flaschen	trocknen	bottles	drying
76	galvanometer_2.bmp	Stromstärke 	messen	current	measuring	Mandeln 	operieren	kidneys	operating
77	tierfalle.bmp	Tier 	einfangen	animal	trapping	Maiskolben 	entkörnen	corncob	removing grains
78	Messerschleifer.bmp	Messer 	schleifen	knife	sharpening	Schritte 	vergrößern	steps	extending
79	tibetischer_leierkasten.bmp	Leierkasten 	klingen	barrel organ	making sounds	Fass 	anheben	barrel	lifting
80	Buchbinder.bmp	Buch 	binden	book	binding	Löcher	bohren	hole	drilling
81	korkenpresse.bmp	Kork	flach pressen	cork	pressing flat	Elektroschock 	spielen	electric shock	playing
82	tablettenteiler.bmp	Tabletten	zerteilen	pill	splitting	Blumentopf 	sich selbst wässern	flowerpot	self-watering
83	hebel_fuer_fassbauer.bmp	Fass 	anheben	barrel	lifting	Mikroskop-Proben	schneiden	microscopic samples	slicing
84	pferdeschuh.bmp	Pferd 	im Moor laufen	horse	walking in the moor	Luft 	abpumpen	air	pumping out
85	Rituelles_Hackmesser.bmp	altes Ritual	hacken	ancient ritual	chopping	Spannung	erzeugen	electric current	making
86	Historische_Waschmaschine.bmp	Kleidung	im Eimer waschen	clothes	washing in a bucket	Türgelenk 	Feuer überstehen	door hinge	surviving fires
87	Maiskolben-Entkoerner.bmp	Maiskolben 	entkörnen	corncob	removing grains	Brief 	wiegen	letter	weighing
88	Ball-Wurfmaschine.bmp	Ball 	katapultieren	ball	catapulting	Radiergummi	mit Strom betreiben	eraser	operating with electricity
89	planimeter.bmp	Zeichnungen	vermessen	drawings	measuring	Brenner	löten	burner	soldering
90	elektroschockspiel.bmp	Elektroschock 	spielen	electric shock	playing	Weinfass	Loch einschlagen	wine barrel	smashing a hole
91	zaehlgeraet_fuer_lieferungen.bmp	Lieferungen	abzählen	deliveries	counting	Außenbereich 	heizen	outdoor area	heating
92	Erzeugt_statische_Ladung.bmp	Rotation 	Ladung erzeugen	rotation	creating electric charge	Musikgerät 	stampfen	musical instrument	stamping
93	Kuenstliches Herz.bmp	Herz 	durch Maschine ersetzen	heart	replacing with machine	Kerzen 	löschen	candles	extinguishing
94	seilschneider.bmp	Seil 	schneiden	rope	cutting	Akkordeon 	spielen	accordion	playing
95	Fischwaage.bmp	Fisch	wiegen	fish	weighing	Herz 	durch Maschine ersetzen	heart	replacing with machine
96	kerzenloescher.bmp	Kerzen	löschen	candles	extinguishing	Körper 	trainieren	body	examining
97	Korkenpresse_2.bmp	Korken	formen	bottle cork	forming	Sternenbilder	vermessen	stellar constellation	measuring
98	Mechanische_Erektionshilfe.bmp	Erektion 	helfen	erection	helping	Waffe 	werfen	weapon	throwing
99	heliotrop.bmp	Streckenmaß 	Sonnenlicht nutzen	distance measure	using sunrays	Kartoffeln 	stampfen	potatoes	mashing
100	Luftdruckmessgeraete.bmp	Luftdruck 	messen	air pressure	measuring	Knochen 	sägen	bones	sawing
101	pianostimmgeraet.bmp	Piano	stimmen	piano	tuning	Eierkarton	pressen	egg carton	pressing
102	Handzentrifuge.bmp	von Hand	zentrifugieren	by hand	centrifugating	Lieferungen 	abzählen	deliveries	counting
103	Kartoffelstampfer.bmp	Kartoffeln 	stampfen	potatoes	mashing	Nachricht 	morsen	message	signaling
104	ninjasterne.bmp	Waffe	werfen	weapon	throwing	elektrische Spannung 	prüfen	electric current	measuring
105	dieselstandmessgeraet.bmp	Tankfüllstand 	messen	fuel tank level	gauging	Tonpott	trommeln	clay pot	drumming
106	uhrwerk.bmp	Uhrzeit 	anzeigen	time	displaying	altes Ritual 	hacken	ancient ritual	chopping
107	Windgeschwindigkeitsmesser.bmp	Windgeschwindigkeit	messen	wind speed	measuring	Waffe 	entflammen	weapon	inflaming
108	schluesselloch-cutter.bmp	Schlüsselloch 	stanzen	keyhole	punching	Automat	Eier ausbrüten	machine	incubating eggs
109	ziegelformer.bmp	Ziegelsteine	formen	bricks	forming	Schallplatte 	abtasten	vinyl record	reading
110	Becher-Grammophon.bmp	Becher 	Schall auffangen	drinking cup	picking up sound	Schlüsselloch 	stanzen	keyhole	punching
111	Vakuumpumpe.bmp	Luft 	abpumpen	air	pumping out	Briketts	pressen	briquette	pressing
112	mundsperrer.bmp	Mund	offen halten	mouth	keeping open	Orgelton 	erzeugen	organ sound	making
113	Autobatterie-Spannungstester.bmp	Autobatterie 	Spannung testen	car battery	measuring voltage	Becher 	Schall auffangen	drinking cup	picking up sound
114	Sonnenlichtsintensitaetsmesser.bmp	Sonnenlicht	Intensität messen	sunlight	measure intensity	Krawatten 	aufhängen	necktie	hanging up
115	wagenradschloss.bmp	Kutschrad	anschließen	carriage wheel	locking	Angelschnur	kurbeln	fishing line	winding
116	Eierwaage.bmp	Eier 	wiegen	eggs	weighing	Leierkasten	klingen	barrel organ	making sounds
117	Selbstwaessernder_Blumentopf.bmp	Blumentopf	sich selbst wässern	flowerpot	self-watering	Glas 	schneiden	glass	cutting
118	Siebenmeilenstiefel.bmp	Schritte	vergrößern	steps	extending	Tabletten	zerteilen	pill	splitting
119	Muenzspender.bmp	Münzen	aufbewahren	coins	storing	Kutschrad	anschließen	carriage wheel	locking
120	loetlampe.bmp	Brenner 	löten	burner	soldering	Flaschenkorken einführen	einführen	bottle cork	inserting
